  Model.id                                     | Context | Max.out | Provider                 | Modality | Speed T/s | Input  | Output  | Mod
  ---                                          |     --- | ---     | ---                      |      --- |       --- | ---    | ---     | ---
  ai21/jamba-large-1.7                         |   256Kt | 4.1Kt   | openrouter               |     text |         ? | $2.00  | $8.00   |
  ai21/jamba-mini-1.7                          |   256Kt | 4.1Kt   | openrouter               |     text |         ? | $0.20  | $0.40   |
? anthropic/claude-sonnet-4                    |     1Mt | 64Kt    | openrouter               |    image |         ? | $3.00  | $15.00  |
? anthropic/claude-sonnet-4.5                  |     1Mt | 64Kt    | openrouter               |     text |         ? | $3.00  | $15.00  |
  bytedance-seed/seed-1.6                      |   262Kt | 33Kt    | openrouter               |    image |         ? | $0.25  | $2.00   |
  bytedance-seed/seed-1.6-flash                |   262Kt | 16Kt    | openrouter               |    image |         ? | $0.08  | $0.30   |
  google/gemini-2.0-flash-001                  |     1Mt | 8.2Kt   | openrouter               |     text |         ? | $0.10  | $0.40   |
  google/gemini-2.0-flash-exp:free             |     1Mt | 8.2Kt   | openrouter               |     text |         ? | $0.00  | $0.00   |
  google/gemini-2.0-flash-lite-001             |     1Mt | 8.2Kt   | openrouter               |     text |         ? | $0.08  | $0.30   |
? google/gemini-2.5-flash                      |     1Mt | 66Kt    | openrouter               |     file |         ? | $0.30  | $2.50   |
? google/gemini-2.5-flash-lite                 |     1Mt | 66Kt    | openrouter               |     text |         ? | $0.10  | $0.40   |
  google/gemini-2.5-flash-lite-preview-09-2025 |     1Mt | 66Kt    | openrouter               |     text |         ? | $0.10  | $0.40   |
  google/gemini-2.5-flash-preview-09-2025      |     1Mt | 66Kt    | openrouter               |    image |         ? | $0.30  | $2.50   |
? google/gemini-2.5-pro                        |     1Mt | 66Kt    | openrouter               |     text |         ? | $1.25  | $10.00  |
  google/gemini-2.5-pro-preview                |     1Mt | 66Kt    | openrouter               |     file |         ? | $1.25  | $10.00  |
  google/gemini-2.5-pro-preview-05-06          |     1Mt | 66Kt    | openrouter               |     text |         ? | $1.25  | $10.00  |
? google/gemini-3-flash-preview                |     1Mt | 66Kt    | openrouter               |     text |         ? | $0.50  | $3.00   |
? google/gemini-3-pro-preview                  |     1Mt | 66Kt    | openrouter               |     text |         ? | $2.00  | $12.00  |
+ kwaipilot/kat-coder-pro:free                 |   256Kt | 33Kt    | openrouter               |     text |         ? | $0.00  | $0.00   |
? minimax/minimax-01                           |     1Mt | 1Mt     | openrouter               |     text |         ? | $0.20  | $1.10   |
  minimax/minimax-m1                           |     1Mt | 40Kt    | openrouter               |     text |         ? | $0.40  | $2.20   |
  minimax/minimax-m2.1                         |   205Kt | 131Kt   | openrouter               |     text |         ? | $0.30  | $1.20   |
  mistralai/codestral-2508                     |   256Kt | 0t      | openrouter               |     text |         ? | $0.30  | $0.90   |
  mistralai/devstral-2512                      |   262Kt | 66Kt    | openrouter               |     text |         ? | $0.05  | $0.22   |
  mistralai/devstral-2512:free                 |   262Kt | 0t      | openrouter               |     text |         ? | $0.00  | $0.00   |
  mistralai/ministral-14b-2512                 |   262Kt | 0t      | openrouter               |     text |         ? | $0.20  | $0.20   |
  mistralai/ministral-8b-2512                  |   262Kt | 0t      | openrouter               |     text |         ? | $0.15  | $0.15   |
  mistralai/mistral-large-2512                 |   262Kt | 0t      | openrouter               |     text |         ? | $0.50  | $1.50   |
  moonshotai/kimi-k2-0905                      |   262Kt | 262Kt   | openrouter               |     text |         ? | $0.39  | $1.90   |
  moonshotai/kimi-k2-0905:exacto               |   262Kt | 0t      | openrouter               |     text |         ? | $0.60  | $2.50   |
  moonshotai/kimi-k2-thinking                  |   262Kt | 66Kt    | openrouter               |     text |         ? | $0.40  | $1.75   |
  morph/morph-v3-large                         |   262Kt | 131Kt   | openrouter               |     text |         ? | $0.90  | $1.90   |
